Media Source,Date,Tweets Ago,Text,Compound,Negative,Neutral,Positive
BBCNews,Thu Mar 08 20:28:10 +0000 2018,106,"RT @BBCSport: Back to winning ways!

Arsenal put their problems to one side at AC Milan tonight.

Report: https://t.co/mccQRitaoZ #UEL http…",0.2481,0.748,0.106,0.145
BBCNews,Thu Mar 08 20:12:33 +0000 2018,107,Knuckle-duster attack woman 'let down by system' https://t.co/N09QbEE601,-0.4767,0.693,0.307,0.0
BBCNews,Thu Mar 08 19:53:19 +0000 2018,108,RT @BBC_HaveYourSay: The NHS is 70 years old this year. We want you to share your memories and stories with us. More details here: https://…,0.3612,0.868,0.0,0.132
BBCNews,Thu Mar 08 19:07:31 +0000 2018,109,UK government to press on with Brexit bill despite no agreement https://t.co/ojS1S6iDNe,-0.1877,0.689,0.181,0.13
BBCNews,Thu Mar 08 18:20:53 +0000 2018,110,KFC in partial return to ex-supplier Bidvest https://t.co/hwAqHmbcTw,0.0,1.0,0.0,0.0
BBCNews,Thu Mar 08 18:05:02 +0000 2018,111,Russian spy: Police name officer injured in attack https://t.co/wWN6SOQnBK,-0.7003,0.547,0.453,0.0
BBCNews,Thu Mar 08 18:03:13 +0000 2018,112,"RT @BBCSport: AC Milan 🆚 Arsenal is under way! ⚽

Live: https://t.co/zImCV3VBWi #UEL https://t.co/ofVfqBjrMN",0.0,1.0,0.0,0.0
BBCNews,Thu Mar 08 17:29:30 +0000 2018,113,University exams could be hit by new strike action https://t.co/lPityhiUEJ,-0.128,0.857,0.143,0.0
BBCNews,Thu Mar 08 17:11:29 +0000 2018,114,"RT @BBCSport: Aaron Ramsey is back in the Arsenal team to take on AC Milan tonight.

📋 Team news and live build-up: https://t.co/zImCV3VBWi…",0.0,1.0,0.0,0.0
BBCNews,Thu Mar 08 16:55:54 +0000 2018,115,"Meghan Markle hug a 'dream come true' for girl, 10 https://t.co/IuIYokQQKF",0.7845,0.47,0.0,0.53
BBCNews,Thu Mar 08 16:47:39 +0000 2018,116,"RT @bbc5live: “He was a gem""

Oscar-winning actress @SusanSarandon tells @AnnaeFoster the late Paul Newman once gave her part of his salary…",0.0,1.0,0.0,0.0
BBCNews,Thu Mar 08 16:45:09 +0000 2018,117,RT @BBCFergusWalsh: Aged 82 but with the immune system of a 20 year old - the hidden benefits of exercise:  https://t.co/md1DyqBKjq https:/…,0.7351,0.744,0.0,0.256
BBCNews,Thu Mar 08 16:40:18 +0000 2018,118,How exercise in old age prevents the immune system from declining https://t.co/4sRKRFpO5Y,0.3612,0.741,0.0,0.259
BBCNews,Thu Mar 08 16:08:54 +0000 2018,119,Optician who claims to treat autism struck off https://t.co/l3fhAJPm1O,0.1779,0.598,0.171,0.231
